"age","Male","Female"
45,0,0
46,0,0
47,0,0
48,0,0
49,0.917431192660551,0
50,2.52852987245469,0.704225352112676
51,3.21185793319496,0.704225352112676
52,3.78791937974926,2.32048025860079
53,4.28833639392774,2.32048025860079
54,5.23197990637859,3.60735987295223
55,6.10851988016627,4.8027041172452
56,7.75203233101817,6.27774328928777
57,8.93901354552233,6.97382919070112
58,9.68654585188989,8.57971157729506
59,12.2415879146697,9.80799459190611
60,12.9411827651927,10.9954708618457
61,14.2786435088397,12.9736464749902
62,15.5769112636618,14.3773635962614
63,16.202944291343,15.7315906908211
64,19.223663096238,15.7315906908211
65,21.4583084848592,18.07731772398
66,24.8890918615806,19.5108175775771
67,25.6454599176578,23.7953893622173
68,28.5685073010394,25.8804713588813
69,29.5266315090891,28.5168446687994
70,33.1538160109915,31.1210670846941
71,35.5892113194117,32.568869057167
72,37.6485529405024,35.1689268630293
73,42.5517472764324,37.4131872849314
74,44.5032674101359,39.3621502828991
75,46.6174142216481,42.966939567758
76,46.6174142216481,47.1548565310499
77,51.9838531840713,50.3441163723261
78,51.9838531840713,54.2927237948584
79,57.7488605574967,55.8881207332554
80,62.9486711296059,57.6749653042599
81,66.6318702848499,66.7032326103882
82,71.6962691233105,85.170143009287
83,71.6962691233105,93.2955835848025
84,78.7864274971552,93.2955835848025
85,78.7864274971552,93.2955835848025
